c,a
,전화번호는 ㅇㅇㅇ.ㅇㅇㅇㅇ.ㅇㅇㅇ입니다
,
네 감사합니다,
증상만으로 코로나 검사를 받을수 있나요?,확진자와 밀접접촉자 이신가요?
,
아닙니다,동선이 겹치나요?
,
전혀 그런거 없습니다,
제가 약간코감기 목감기 증상이 있는데 코로나일까요?,
감기증상이랑 비슷해서 검사를 해야되는지 고민되네요,지금 증상만으로는 코로나라고 하긴 어렵습니다
,
여기서 증상이 더 심해질까봐 걱정이 너무됩니다,
이정도 증상으로 코로나 무료검사를 받을수 있을까요?,"보건소,선별진료소에서 코로나 검사가 필요하다고 판단되어야 무료검사를 받으실수 있습니다"
,
그런게 아니면 제가 부담을 해야 하는거죠?,네 본인부담이십니다
,
검사비가 얼마나 되죠?,16만원정도 됩니다
,
혹여나 양성이 나오면요?,그럼 진료비전액 환불해드립니다
,
제가 고민을 좀 해보겠습니다,
코로나 마스크에 관련해서 문의 하고 싶은데요?,"네, 어떤 부분이 궁금하시죠?"
,
마스크 미착용시 벌금 있나요?,"네, 마스크 미착용시 벌금 10만원이 부과 됩니다."
,
어디에서나 적용 되나요?,"대중교통이나, 집회, 모임들에 해당 됩니다."
,
말씀하신 곳에서만 해당되나요?,"감염 취약층이 많은 의료기관, 요양시설에서는 마스크 착용이 의무 입니다."
,
소규모의 카페나 음식점에서는 안써도 되나요?,"아니요, 마스크 착용은 필수 입니다."
,
실내에서는 꼭 착용해야되네요?,실내뿐만 아니라 실외라도 꼭 착용하셔야 합니다.
,
실외는 괜찮지 않나요?,혹시 모를 감염을 위해 마스크 착용을 권고하고 있습니다.
,
혹시 1인 카페에 혼자있으면요?,"혼자 있을땐 마스크를 벗으셔도 되지만, 손님이 오셨을땐 마스크를 해야합니다"
,
공원 같은데 갈떄도 써야겠네요.,"네, 꼭 착용해 주세요."
,
사회적 거리두기와는 별도로 마스크는 언제나 꼭 착용 해야 되네요.,"네, 건강을 지키기 위해 꼭 착용 부탁드립니다."
,
마스크 좀 여쭤 볼께요?,"네,어떤 문의 시죠?"
,
지금 코로나 때문에 대부분의 사람들이 마스크를 쓰잖아요?,"네, 그렇죠"
,
덴탈마스크 쓰는것도 상관없나요?,일회용으로 사용되는 덴탈 마스크 말씀이시죠?
,
"네, 그거요",덴탈마스크도 비말차단의 효과는 있습니다.
,
네? 그게요? 너무 얇은데?,"네, 두께에 상관없이 비말 차단으로 제작된 것입니다."
,
그런데 가격차이가 나잖아요?,"네, 일반 KF지수가 적힌 마스크나, 덴탈마스크나, 만드는 재질에 따라 가격은 다릅니다."
,
그럼 면마스크는요?,면 마스크도 코로나를 예방하는데 효과는 있습니다.
,
비싼 돈주고 KF94마스크 쓸 필요가 없네요?,네 착용 가능한 마스크 어떤걸 쓰셔도 됩니다.
,KF94마스크 같은경우 공기를 여과 시켜주는 기능이 있는것이죠
,
코로나는 비말 여부에 따라 마스크를 착용 하는군요,"네, 그렇습니다."
,
알겠습니다 수고하세요. ,
"안녕하세요, 마스크 사용 문의 드릴려구요?",네궁금하신 점 말씀하세요.
,
요즘 마스크 사기가 많이 편해 졌잖아요?,"네, 시중에 많이 공급 되었습니다."
,
날이 추워지고 미세먼지 오면KF 쓰는게 맞지 않나요?,마스크 사용은 개인의 취향입니다.
,
마스크의 가격이 천차만별이니까 그러죠.,
그냥 면마스크 쓰면 어떻게 도움이 되죠?,비말 차단 효과는 면마스크도 있습니다.
,
다른 마스크나 별반 차이가 없는건가요?,"네, 비말 효과는 모든 마스크에 다 있습니다."
,
좀 더 안전하게 사용하고 싶은데요?,"네, 방법이 있습니다."
,
어떻게 사용하면 될까요?,마스크 안 쪽에 필터지를 넣고 사용하시면 됩니다.
,
면 마스크를 계속 빨아 써도 되죠?,"네, 자주 깨끗이 세탁하셔서 사용하시면 됩니다."
,
환경을 위해 그 방법이 좋겠네요.,"네, 멋진 생각 이십니다."
,
"네, 감사합니다.",
요즘 마스크 안쓰는 사람 거의 없잖아요?,네. 그렇죠
,
확진자와 서로 마스크를 쓰고 대화를 했다면요?,위험한 상황일수 있습니다.
,
둘다 마스크를 썼으면 이중으로 예방되는게 아닌가요?,꼭 그렇지만은 않습니다.마스크의 종류와 밀착여부에 따라 달라집니다.
,
그 말은 마스크를 썼다고해서 다 예방이 되는건 아니란 말씀인가요?,마스크를 쓴다고 100% 예방이 되는것은 아니지만 마스크 착용을 의무화 하고 손씻기를 생활화 하면 확률이 많이 줄어 듭니다.
,
"사람들이 덴탈 마스크 많이 쓰는데, 이건어때요?",덴탈 마스크로 모든 바이러스를 차단할수는 없습니다. 예방차원에서 어느정도 가능하다는 말씀입니다.
,
덴탈도 비말마스크라고 하던데?,"네, 물론 그렇습니다만, 100% 완벽하진 않다는 말씀입니다."
,
그럼 면 마스크와 덴타 마스크의 차이는 뭘까요?,방수 기능의 차이입니다.
,
마스크의 바른 사용법이 있을까요?,마스크의 철사가 있는 부분이 코와 밀착시켜 주시면 됩니다.
,
마스크는 1개로 얼마나 사용하는게 좋을까요?,1일 1회 사용을 권장합니다.
,
마스크 보관은요?,최대한 펼쳐서 말린다는 개념으로 보관해 주세요.
,
어떤 마스크를 사용해야 안전할까요?,확실한 차단 효과를 가지고 있는 마스크는 식약처의 허가를 받은 보건용 마스크 입니다.
,
"KF80,KF94에 해당되는 마스크 일까요?","네, 맞습니다."
,
그럼 마스크는 어디서 사야 안전할까요?,"약국, 대형마트,편의점에서도 구매가능합니다."
,
홈쇼핑이나 인터넷은요?,"네, 식약처 허가여부를 따지셔서 구매 가능합니다."
,
어린이 마스크도 마찬가지 인가요?,"네, 똑같습니다."
,
어른 마스크랑 어린이 마스크랑 차이가 뭔가요?,어린이용과 성인용의 구분은 얼굴크기에 맞춰 구분하고 있습니다.
,
마스크 보관 방법은 어떻게 되요?,걸어서 보관하시는 것이 가장 좋습니다.
,
접어서 보관하나요?,"아뇨, 최대한 펼쳐서 입이 닿는 부분이 아래로 가도록 보관해 주세요."
,
"외출을 잘 안하는데, 마스크 잠깐씩 쓴건 며칠 쓸수 있죠?","가급적 일회용으로 쓰시길 권해 드리는데, 노출시간이 짧으면 길게 2~3일정도엔 교체해 주셔야 합니다."
,
"아, 아무래도 자주 가는게 좋긴 하겠죠.","네, 그렇습니다."
,
문의 좀 드려도 될까요?,네 어떤게 궁금하실까요?
,
마스크 빨아 써도 되나요?,WHO에서는 마스크에 남아있을 세균 감염을 우려해 일회용 마스크의 경우 재사용을 하지 않는것을 권장하고 있습니다.
,
"아, 일회용을 빨아 쓰는 사람이 있나요? ",
저는 면 마스크 문의 드리려고 말씀드린건데..,"아, 그러시군요. 가끔 일회용 마스크 재사용 문의가 있어서요."
,
"왜, 아이들은 면마스크 많이 쓰던데, 그리고 학교에서도 면마스크를 나눠 주더라구요?","네, 면마스크는 수시로 빨아 쓰면 더 위생적이지요."
,
"면마스크면 천인데, 비말을 차단하나요?","네, 감염을 예방하는데 효과가 있다고 보여집니다."
,
요즘 마스크 사용후 버리는 것 때문에 말이 많던데요?,"네, 쓰레기 문제도 야기 되고 있습니다."
,
마스크는 어떻게 버려야 할까요?,"네, 귀연결 끈 부분은 가위로 잘라 종량제 봉투에 버려주시면 됩니다."
,
그럼 코부분에 철심있는 마스크는 분리수거 해야하나요?,"네, 마스크와 철심을 분리해 버려주시면 됩니다."
,
그렇군요. 정보 감사합니다.,다른 문의 사항은 없으신가요?
,
"네, 수고하세요.",
뉴스에서 봤는데요?,"네, 어떤걸 보셨나요?"
,
마스크 안썼다고 한소리하니까 지하철에서 폭력행사한 사람요,
그런 난동자들은 처벌이 어떻게 되요?,벌금을 내거나 처벌 받게 됩니다.
,
처벌 받는 다는 말이 감옥에 갈수 있다는 말인가요?,"네, 상황에 따라 그렇습니다."
,
요즘 이상한 사람 넘 많으거 같아요,
"제가 어디선가 들은거 같은데, 마스크 벌금이 강화 된다고요?","네, 맞습니다. 지금은 계도 기간인거죠."
,
그런 발표가 있었나요?,"네, 정부에서 1단계 발표 할때 알렸습니다."
,
그럼 언제부터 시행되나요?,30일 계도 기간을 거쳐 11월 13일 부터 부과됩니다.
,
13일 전까지는 벌금을 안 내나요?,"네, 그렇습니다."
,
그럼 13일 부턴 마스크 미착용하신 분들 신고해도 되네요.,"네, 맞습니다."
,
어디다 신고하나요?,안전신문고나 앱을 다운받으시거나 코로나19 신고센터에 하시면 됩니다.
,
요즘 확진자 뉴스를 보면 궁금한게 있는데요?,"네, 어떤 점이 궁금하신가요?"
,
"오늘 뉴스 보니 학원에서 확진자가 나왔는데, 마스크를 쓰고 수업을 했는데, 확진되나요?","네, 지금 부천에서 발생된 학원발 감염자의 경우 마스크를 착용했음에도 불구하고 확진자가 발생되었습니다."
,
그럼 마스크도 예방이 안되는거네요?,꼭 그렇다고는 말씀드리기 어렵습니다. 마스크에도 종류가 다양합니다.
,
"그렇긴 한데, 지금 다들 마스크 착용은 필수로 하고 있잖아요?","네, 그렇습니다."
,
그 학원은 어떻게 마스크를 썼는데도 걸린거죠?,"네, 무용학원이어서 자세교정을 위해 밀촉 접촉을 하니 더 위험했던것으로 보여 집니다."
,
혹시 일회용 마스크를 쓴건가요?,정확한건 알수 없지만 지금 상황으론 얇은 일회용 마스크를 착용한것으로 추측되고 있습니다.
,
마스크 사용을 어떤걸 해야할까요?,일회용 마스크 보단 KF지수가 표시된 마스크를 착용해 주시면 감염률이 낮아 집니다.
,
아이들은 가끔 면마스크를 쓰는데 괜찮을까요?,"네, 면마스크도 비말 차단의 효과가 있기때문에 사용하셔도 괜찮습니다."
,
"마스크도 안전하지 않은거 같은데, 발레같은 밀촉접촉은 피해야 겠네요?","마스크는 필히 착용해주수고, 가급적 KF80내지는 KF94착용을 부탁드리며, 밀촉 접촉되는 발레와 같은 운동은 당분간 피해주시는게 좋습니다."
,
네. 또 다른 정보를 얻었네요. 감사합니다.,네. 감사합니다. 건강 조심하세요.
,
공적마스크 구입하기가 너무 번거로워요,
수량이라도 늘려주면 안되나요?,6월부터 1인 10매로 구입수량이 늘어납니다
,
정말 잘된일이네요.,
본인만 가능한가요?,
어르신들은 너무 불편해요,대리구매가능하십니다
,단 중복구매를 방지하기 위해서 서류지참하셔야해요
,
신분증이면 되나요?,가족관계증명서 필요합니다.
,
등본도 가능한가요?,"네, 가능합니다."
,
한꺼번에 열장 구입해야하나요?,주중에 분할 구매가능합니다.
,
비말차단용 마스크는 구입이 어렵던데요?,생산량이 적어 노약자에게 양보해주세요
,
생산량이 늘긴하나요?,6월말쯤이면 가능할것 같습니다.
,
감사합니다.,
수요일에 코로나 검사를 하러갑니다.,
검사 후 결과는 언제 알수 있지요?,평균적으로 하루 정도 소요됩니다.
,
4시간 정도면 된다고 하던데요?,맞습니다. 4시간이면 가능합니다.
,
그런데 왜 하루라고 하시나요?,현재 검사자 수가 증가돼서 그렇습니다.
,보통은 4시간 정도로 예상하시면 됩니다.
,
수요일 오후에 결과가 필요해서요.,혹시 몇시에 예약하셨어요?
,
9시 첫타임으로 예약했어요.,10시이전 검사는 보통 오후에 결과 나옵니다.
,검사현장에 따라 다를 수 있으니 확인바랍니다.
,
알겠어요.,
결과는 어떻게 확인해야 하지요?,검사 결과는 개인 휴대폰으로 통보됩니다.
,검사 잘 받으시길 바랍니다.
,
고맙습니다,
제가 해외지사 관리자입니다.,
베트남 지사 관리차 출국을 해야하는데요.,
코로나 검사 결과 확인서가 필요하다고 합니다.,네. 검사 결과 확인서가 필요하시네요.
,그럼 코로나 검사는 받으셨나요?
,
아니요. 아직이요,
과정이 어떻게 진행해야 하는지 잘 몰라서요,
어떤 과정으로 진행해야하는지 알려주세요.,"먼저, 검사가능한 병원에 예약을 하시면 됩니다."
,
예약하고 그냥 가면 되나요?,네. 병원에서 알려주시는데로 진행하시면 됩니다.
,
검사시간은요?,실제 검사결과는 10분이면 됩니다.
,
생각보다 짧네요.,
그다음에는요?,검사후 결과가 나오기가지 시간이 걸립니다.
,
검사 결과는 어떻게 알지요?,검사 결과는 안내 문자로 발송됩니다.
,
서류발급은 어디서 받나요?,질본 홈페이지에서 서류발급 받으시면 됩니다.
,
온라인 발급만 가능한 건가요?,아닙니다. 
,우편발급도 가능하세요.
,
어디에 신청해야 하나요?,검사 받으실때 결과 통보 방법을 선택하시면 됩니다.
,
네. 고맙습니다.,
코로나 말이에요. 정부에서 검사결과를 조작하고 있다던데요? ,현재 잘못된 정보로 혼란을 겪는 분들이 많지만 사실이 아닙니다. 
,
그걸 어떻게 믿나요? ,정부에서는 의료인의 판단에 개입하지 않습니다.
,의료인 또한 정부에 의해 환자에게 해를 끼치지 않습니다.
,
그럼 검체를 받아가지고 그거를 몰래 빼돌리는거 아닌가요?,아닙니다. 검체를 채취하시는 분들은 따로 있어요
,
그럼 그 사람이 뭘 묻히면 어떡할라고요?,오직 의료적 목적으로 채취하고 있습니다
,
그 검사장치를 미리 어떻게 하는거 아닌가요?,도구 자체는 사전에 무균 밀봉상태입니다. 
,
흠. 알겠습니다,다른 궁금하신 점 있으세요?
,
사회적 거리두기 3단계 그거는 언제하나요? ,아직 논의 중입니다. 
,
시작하면은 그럼 음식점 문 다 닫는야 하는건가요?,포장만 하실 수 있습니다
,
"아, 안에서 먹지는 못하는거예요? ",네 그렇죠
,
알겠어요. 전화 끊겠습니다,
코로나19감염은 어느 경로로 됩니까?,콧물이 감염경로 입니다.
,
"그렇다면, 감염 차단을 위한 방법에는 어떤 것이 있습니까?",마스크를 잘 쓰고 다니십니까?
,
"예, 그러고 있습니다.",지금처럼만 하신다면 문제 없습니다.
,
115번감염자의 생년월일이 어떻게 됩니까?,개인정보는 알려드릴 수 없습니다.
,
뭐때문에 그렇습니까?,개인정보 보호문제 때문 입니다.
,
문제가 크게 발생하나요?,예 그렇습니다.
,
안녕하세요백신이 언제쯤 세상을 볼 수 있을까요?,어떤 백신을 말씀하시는 겁니까?
,
코로나19 감염병이요.,"아직, 정해진 것은 없어요."
,
예 알겠어요.,"네, 질병관리청 상담원 OOO이었습니다."
,
여보세요. 완치자 는 몇 명으로 통계됩니까?,금일은79명 으로 통계되요.
,
코로나감염경로가 어떻게 됩니까?,침이 감염의 경로에요.
,
"그럼, 감염 차단을 위한 방법에는 어떤 것이 있나요?",코 또는 입을 잘 막으시나요?
,
"네, 그렇게 하고 있습니다.",지금처럼만 하신다면 문제 없어요.
,
115번사망자의 이름이 어떻게 됩니까?,개인정보는 공개할 수가 없습니다.
,
무슨 이유에서 그렇습니까?,개인정보 보호문제 때문에요.
,
문제가 크게 발생합니까?,법으로 처벌 당하실 수 있습니다.
,
안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 개발은 언제 되나요?,무슨 감염병의 백신을 말씀하시는 겁니까?
,
코로나십구의 백신이요.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
,
네 알겠어요.,고맙습니다. 질병관리청 상담원 OOO이었습니다.
,
안녕하세요. 질병관리청이죠? 완치자 는 몇 명으로 확인되나요?,오늘은 79명 으로 확인되요.
,
코로나19 감염병감염경로는 어떻게 됩니까?,비말 또는 채액로 감염되요.
,
"그럼, 감염 차단을 위한 방법에는 어떤 것이 있나요?",마스크를 잘 쓰고 다니십니까?
,
"네, 그러고 있습니다.",지금처럼만 하신다면 문제 없습니다.
,
115번사망자의 이름이 무엇입니까?,개인정보는 비공개 사항입니다.
,
뭐때문에 그렇습니까?,개인 보호때문에 그래요.
,
문제가 되나요?,법으로 처벌 받으실 수 있어요.
,
안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신 개발은 언제쯤 완료되나요?,무슨 병의 백신을 말씀하시는 건가요?
,
코로나19 감염병 입니다.,정해진 날짜는 없어요.
,
네 알겠어요.,끝으로 질병관리청 OOO이었어요.
,
안녕하세요. 질병관리청이죠? 완치자 는 몇 명입니까?,금일 하루 79명 이에요.
,
코로나십구감염경로가 어떻게 됩니까?,콧물로 감염이 시작되요.
,
"그렇게 전파 된다면, 감염을 어떻게 막습니까?",호흡기를 잘 막고 다니십니까?
,
"예, 그렇게 하고 있습니다.",위와 같은 사항을 하고 계신다면 괜찮아요.
,
115번감염자의 성함이 무엇입니까?,개인정보는 공개가 불가능 합니다.
,
왜그렇죠?,개인 보호문제가 발생하기 때문에요.
,
문제가 크게 발생합니까?,법으로 처벌 받으실 수 있어요.
,
여보세요백신 언제 나옵니까?,무슨 감염병의 백신을 말씀하시는 건가요?
,
코로나 감염병 백신이요,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없어요.
,
그렇군요.,이상 질병관리청 OOO이었어요.
,
여보세요. 사망자 는 몇 명으로 통계되나요?,오늘은 79명 으로 나타나고 있어요.
,
코로나19감염은 어떤 경로로 되나요?,비말 또는 채액로 감염이 시작되요.
,
"그렇다면, 감염 차단을 위한 방법에는 어떤 것이 있습니까?",밀집 지역에 잘 안가십니까?
,
네,위와 같은 사항을 하고 계신다면 괜찮아요.
,
115번사망자의 성함이 무엇인지 알려주실 수 있겠습니까?,개인정보는 알려드릴 수가 없습니다.
,
왜 안되나요?,개인정보 보호법 문제가 발생하기 때문에요.
,
문제가 되나요?,네 그렇습니다.
,
안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신이 언제쯤 볼 수 있겠습니까?,어떤 병의 백신을 말씀하시는 건가요?
,
코로나십구 백신이요,정해진 날짜는 없습니다.
,
예 알겠어요.,고맙습니다. 질병관리청 OOO이었습니다.
,
문의하상이 있어서 연락드렸습니다. 치료중인자 는 몇 명입니까?,오늘 하루 79명 으로 통계되요.
,
코로나19 감염병감염은 무엇으로 진행 됩니까?,대인접촉로 감염경로가 생겨나요.
,
"그럼, 이를 어떻게 차단하나요?",다수가 모이는 장소를 피하고 있으십니까?
,
"네, 그렇게 하고 있어요.",지금처럼만 하신다면 되요.
,
115번감염자의 생년월일이 무엇인지 알려주실 수 있겠습니까?,개인정보는 비공개입니다.
,
왜 그런가요?,개인정보 보호때문에요.
,
그렇게 문제가 있습니까?,네
,
안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신 개발은 언제 되나요?,무슨 병의 백신을 말씀하시는 겁니까?
,
COV-19이요.,정해진 날짜는 없습니다.
,
네 알겠어요.,"좋은 시간 되셨기를 바라며, 상담원 OOO이에요."
,
여보세요. 치료중인자 는 몇 명인가요?,금일 하루 79명 입니다.
,
코로나감염은 무엇으로 진행 됩니까?,콧물로 감염이 전파됩니다.
,
"그럼, 감염을 어떻게 막습니까?",밀집 지역의 모임은 삼가하시나요?
,
"예, 그러고 있어요.",지금처럼만 하신다면 됩니다.
,
115번사망자의 이름이 무엇입니까?,개인정보는 비공개 사항입니다.
,
왜 안되나요?,개인정보 보호때문에요.
,
그게 문제가 되요?,예 그렇습니다.
,
안녕하세요백신 언제 나옵니까?,어떤 백신을 말씀하시는 건가요?
,
COV-19의 백신입니다.,"아직, 정해진 기한이 없습니다."
,
알겠습니다.,"감사의 인사를 올리며, 상담원 OOO이었습니다."
,
여보세요. 사망자 는 몇 명입니까?,금일은79명 으로 나타나고 있습니다.
,
코로나십구감염은 어느 경로로 되나요?,콧물로 감염경로가 생겨나요.
,
"그럼, 감염을 어떻게 차단하나요?",입 또는 코를 잘 막고 다니시나요?
,
예,위와 같은 사항을 하고 계신다면 괜찮아요.
,
115번감염자의 이름이 어떻게 되나요?,개인정보는 비공개입니다.
,
왜그렇죠?,개인정보 보호법 때문에 공개할 수 없습니다.
,
그렇게 문제가 있습니까?,법으로 처벌 당하실 수 있습니다.
,
안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신 언제 나옵니까?,무슨 감염병의 백신을 말씀하시는 겁니까?
,
코로나19이요.,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
,
네 알겠습니다.,"좋은 시간 되셨기를 바라며, 질병관리청 상담원 OOO이에요."
,
안녕하세요. 질병관리청이죠? 치료중인자 는 몇 명으로 확인되나요?,오늘 하루 79명 으로 확인되요.
,
코로나 감염병감염은 무엇으로 진행 됩니까?,채액로 감염이 시작되요.
,
"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있습니까?",다수가 모이는 장소는 피하시나요?
,
"예, 그러고 있어요.",위와 같은 사항을 지키고 계신다면 괜찮아요.
,
115번감염자의 성함이 무엇인지 알려주실 수 있나요?,개인정보는 공개가 불가능 합니다.
,
왜 그런가요?,개인 보호때문에 공개할 수 없습니다.
,
문제가 됩니까?,예
,
안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신은 언제 쯤 나오나요?,무슨 병의 백신을 말씀하시는 겁니까?
,
COV-19 백신입니다.,"아직, 정해진 기한이 없습니다."
,
그렇군요.,"감사의 인사를 올리며, 질병관리청 OOO이었어요."
,
안녕하세요. 질병관리청이죠? 검사자 는 몇 명입니까?,오늘 하루 79명 으로 통계됩니다.
,
코로나19 감염병감염경로가 어떻게 되나요?,입 분비물로 감염이 시작됩니다.
,
"그렇게 감염 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?",코 또는 입을 잘 막으시나요?
,
예,위와 같은 사항을 지키고 계신다면 괜찮아요.
,
115번확진자의 생년월일이 무엇인지 알려주실 수 있겠습니까?,개인정보는 알려드릴 수 없습니다.
,
왜 그렇나요?,개인정보 보호법 문제 때문에요.
,
문제가 크게 발생하나요?,법으로 처벌 당하실 수 있습니다.
,
안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 언제 나옵니까?,어떤 병이 백신을 말씀하시는 겁니까?
,
코로나 입니다.,"아직, 정해진 기한이 없어요."
,
그렇군요.,"감사의 인사를 올리며, 질병관리청 상담원 OOO이었습니다."
,
안녕하세요. 완치자 는 몇 명으로 확인되나요?,금일 하루 79명 으로 통계되요.
,
코로나감염경로가 어떻게 되나요?,대인접촉이 감염의 경로입니다.
,
"그렇게 감염 된다면, 감염 차단을 위한 방법에는 어떤 것이 있습니까?",대인과의 접촉을 최소화 하고 다니십니까?
,
"네, 그러고 있습니다.",지금처럼만 하신다면 괜찮습니다.
,
115번확진자의 존명이 어떻게 되요?,개인정보는 공개할 수 없습니다.
,
무슨 이유에서 그렇습니까?,개인 보호때문에 그래요.
,
그게 문제가 되요?,예 그렇습니다.
,
안녕하세요백신 언제 나오나요?,무슨 병의 백신을 말씀하시는 건가요?
,
COV-19의 백신이요.,백신 개발은 날짜를 정할 수 없습니다.
,
예 알겠어요.,감사합니다. 질병관리청 OOO이었어요.
,
반갑습니다. 치료중인자 는 몇 명으로 통계됩니까?,오늘은 79명 으로 나타나고 있어요.
,
코로나십구감염은 어떤 경로로 됩니까?,침로 감염이 전파됩니다.
,
"그렇다면, 감염을 어떻게 차단합니까?",호흡기를 잘 막고 다니십니까?
,
"예, 그렇게 하고 있어요.",지금처럼만 하신다면 되요.
,
115번감염자의 이름이 어떻게 되나요?,개인정보는 알려드릴 수가 없습니다.
,
무슨 근거입니까?,개인정보 보호법 때문에 그렇습니다.
,
그게 문제가 되요?,법으로 처벌 받으실 수 있어요.
,
여보세요백신은 언제 나오나요?,무슨 병의 백신을 말씀하시는 건가요?
,
코로나 감염병 백신이요,백신 개발은 정해진 날짜를 알 수 없습니다.
,
예 알겠습니다.,고맙습니다. 상담원 OOO이었습니다.
,
여보세요. 치료중인자 는 몇 명으로 확인되나요?,오늘 하루 79명 입니다.
,
코로나감염은 어떻게 진행되나요?,채액로 감염됩니다.
,
"그렇게 감염 된다면, 이를 어떻게 차단합니까?",다수가 모이는 장소는 피하시나요?
,
"예, 그렇게 하고 있습니다.",지금처럼만 하신다면 괜찮아요.
,
115번감염자의 성함이 어떻게 되나요?,개인정보는 알려드릴 수 없습니다.
,
왜 그렇나요?,개인정보 보호문제가 발생하기 때문입니다.
,
그렇게 문제가 있습니까?,법으로 처벌 당하실 수 있습니다.
,
안녕하십니까?백신은 언제 쯤 나옵니까?,무슨 병의 백신을 말씀하시는 겁니까?
,
코로나십구 백신입니다.,"아직, 정해진 기한이 없습니다."
,
네 알겠습니다.,끝으로 상담원 OOO이에요.
,
반갑습니다. 사망자 는 몇 명으로 통계됩니까?,오늘 하루 79명 이에요.
,
COV-19감염은 어떤 경로로 되나요?,콧물로 감염경로가 생겨나요.
,
"그렇게 감염 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?",호흡기를 잘 막고 다니나요?
,
"예, 그러고 있어요.",지금처럼만 하신다면 괜찮습니다.
,
115번확진자의 존명이 무엇인지 알려주실 수 있겠습니까?,개인정보는 비공개입니다.
,
무슨 이유입니까?,개인정보 보호법 때문에 공개할 수 없습니다.
,
그게 그렇게 문제가 됩니까?,예 그렇습니다.
,
안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 언제 나오나요?,어떤 병의 백신을 말씀하시는 건가요?
,
코로나 입니다.,정해진 날짜는 없습니다.
,
네 알겠습니다.,끝으로 상담원 OOO이에요.
,
여보세요. 궁금한게 연락했는데요. 확진자 는 몇 명으로 파악되고 있습니까?,오늘 하루 79명 으로 통계됩니다.
,
코로나십구감염경로가 어떻게 되나요?,채액이 감염경로 입니다.
,
"그렇다면, 감염을 어떻게 막나요?",밀집 지역의 모임은 삼가하시나요?
,
"예, 그렇게 하고 있어요.",지금처럼만 하신다면 되요.
,
115번확진자의 생년월일이 무엇입니까?,개인정보는 공개가 불가능 합니다.
,
뭐때문에 그렇습니까?,개인정보 보호법 때문입니다.
,
그게 문제가 되요?,예
,
안녕하십니까?백신이 언제쯤 볼 수 있겠습니까?,무슨 병의 백신을 말씀하시는 겁니까?
,
코로나19 감염병 백신이요,"아직, 정해진 것은 없어요."
,
네 알겠어요.,이상 질병관리청 OOO이었어요.
,
여보세요. 궁금한게 연락했는데요. 치료중인자 는 몇 명으로 통계되나요?,오늘은 79명 으로 통계되요.
,
코로나 감염병감염은 어떤 경로로 됩니까?,침이 감염의 경로입니다.
,
"그럼, 감염을 차단할 방법은 어떤 것이 있나요?",밀집 지역의 모임은 삼가하시나요?
,
"예, 그렇게 하고 있어요.",위와 같은 사항을 지키고 계신다면 괜찮습니다.
,
115번감염자의 존명이 어떻게 됩니까?,개인정보는 공개가 불가능 합니다.
,
왜인가요?,개인정보 보호법 문제가 발생하기 때문에요.
,
문제가 크게 발생합니까?,법으로 처벌 당하실 수 있어요.
,
안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신 개발은 언제쯤 완료되나요?,어떤 병이 백신을 말씀하시는 겁니까?
,
COV-19 입니다.,백신 개발은 날짜를 정할 수 없어요.
,
그렇군요.,"좋은 시간 되셨기를 바라며, 질병관리청 상담원 OOO이에요."
,
여보세요. 완치자 는 몇 명으로 파악되나요?,오늘은 79명 으로 통계되요.
,
코로나 감염병감염은 어느 경로로 됩니까?,콧물로 감염이 전파되요.
,
"그렇게 된다면, 감염을 어떻게 막나요?",다수가 모이는 장소를 피하고 있으십니까?
,
"네, 그러고 있습니다.",지금처럼만 하신다면 되요.
,
115번사망자의 존명이 무엇입니까?,개인정보는 비공개 사항입니다.
,
왜 그런가요?,개인정보 보호문제가 발생하기 때문에요.
,
그렇게 문제가 있나요?,예
,
안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신 개발은 언제 됩니까?,무슨 감염병의 백신을 말씀하시는 건가요?
,
코로나19이요.,"아직, 정해진 것은 없어요."
,
네 알겠어요.,끝으로 질병관리청 OOO이었습니다.
,
문의하상이 있어서 연락드렸습니다. 확진자 는 몇 명으로 확인됩니까?,오늘은 79명 입니다.
,
코로나십구감염은 어떤 경로로 되나요?,대인접촉이 감염의 경로입니다.
,
"그렇게 감염 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?",마스크를 잘 쓰고 다니십니까?
,
"네, 그러고 있어요.",위와 같은 사항을 지키고 계신다면 괜찮습니다.
,
115번감염자의 이름이 어떻게 되요?,개인정보는 공개할 수가 없습니다.
,
무슨 근거입니까?,개인 보호때문입니다.
,
