,고객질문(요청),상담사답변
1603,코로나십구감염경로가 어떻게 되나요?,"네, 그렇습니다. "
1604,"그렇다면, 감염을 어떻게 막나요?",코로나19 확진자가 급격히 늘면서 빠른 진료 및 검사 속도와 의료진의 2차 감염 등의 우려로 인해 실시하게 되었습니다. 
1605,115번확진자의 생년월일이 무엇입니까?,"최대 1시간 이상의 시간이 소요되던 기존 검사와 다르게, 빠른 시간 안에 검사를 받으실 수 있습니다. "
1606,뭐때문에 그렇습니까?,검체 채취에 10분이 채 걸리지 않습니다. 
1607,그게 문제가 되요?,"환자가 차 안에서 내리지 않기 때문에 음압 텐트 같은 장비가 필요 없고, 환자가 다녀간 장소를 소독할 필요도 없어 검사 속도가 매우 빠릅니다. "
1608,안녕하십니까?백신이 언제쯤 볼 수 있겠습니까?,드라이브 선별진료소로 가시면 됩니다. 
1609,여보세요. 궁금한게 연락했는데요. 치료중인자 는 몇 명으로 통계되나요?,수성구 주민이시면 대구스타디움 제 3주차장에 가시면 됩니다. 
1610,코로나 감염병감염은 어떤 경로로 됩니까?,마스크를 착용하셔야 합니다. 
1611,"그럼, 감염을 차단할 방법은 어떤 것이 있나요?","네, 맞습니다. "
1612,115번감염자의 존명이 어떻게 됩니까?,동승자 탑승 없이 운전자 혼자 이용해야 합니다. 
1613,왜인가요?,"네, 그렇습니다. "
1614,문제가 크게 발생합니까?,문진 시 차량 공기는 내부 순환(외부공기 유입 금지)으로 변경해야 합니다. 
1615,안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신 개발은 언제쯤 완료되나요?,창문의 1/3가량만 열고 의료진과 접촉하여 검체하시면 됩니다. 
1616,여보세요. 완치자 는 몇 명으로 파악되나요?,지역과 진료소마다 방침이 다르므로 방문 전 유선상으로 예약 여부를 물어보는 것이 좋습니다. 
1617,코로나 감염병감염은 어느 경로로 됩니까?,"네, 그렇습니다. "
1618,"그렇게 된다면, 감염을 어떻게 막나요?",10만원~20만원 선입니다. 
1619,115번사망자의 존명이 무엇입니까?,검사비는 선불입니다. 
1620,왜 그런가요?,카드도 가능합니다. 
1621,그렇게 문제가 있나요?,양성으로 판정될 경우 정부에서 전액을 지원해 줍니다. 
1622,안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신 개발은 언제 됩니까?,음성일 경우도 확진자 접촉 이력이 있고 증상이 있는 사람은 무료 검사가 가능합니다. 
1623,문의하상이 있어서 연락드렸습니다. 확진자 는 몇 명으로 확인됩니까?,"각 진료소마다 상이할 수 있지만, 대체로 평일 오전 8시부터 오후 5시까지 운영합니다. "
1624,코로나십구감염은 어떤 경로로 되나요?,"주말 운영은 지역에 따라 상이하므로, 선별진료소에 문의 후 방문하셔야 합니다. "
1625,"그렇게 감염 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?","본인 거주지 근처에 드라이브스루 선별검진소가 있다면, 주민번호등록지와 상관없이 검사가 가능합니다."
1626,115번감염자의 이름이 어떻게 되요?,20cm 면봉을 코와 입 안으로 깊이 밀어 검체를 채취합니다. 
1627,무슨 근거입니까?,"네, 그렇습니다."
1628,그게 문제가 됩니까?,네 말씀하세요
1629,안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신 개발은 언제쯤 완료되나요?,"네, 의무입니다"
1630,안녕하세요. 질병관리청이죠? 확진자 는 몇 명으로 통계됩니까?, 호흡기기저질환 환자는 예외입니다.
1631,코로나 감염병감염경로는 어떻게 되나요?,그렇다 하도라도 마스크는 착용하셔야 합니다.
1632,"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?",마스크 착용 시 건강이 악화 될 수 있는 중증환자도 예외입니다.
1633,115번확진자의 이름이 무엇인지 알려주실 수 있나요?,병원내 전문의 소견이이써야 합니다
1634,왜 그렇나요?,네 그렇습니다
1635,그게 그렇게 문제가 있나요?,네그렇습니다
1636,안녕하십니까? 문의사항이 있어서 연락드렸습니다.백신이 언제쯤 세상을 볼 수 있을까요?,확진자와 밀접접촉자나 동선이 겹치는 분들에게는 보건소에서 연락을 드립니다.
1637,안녕하세요. 질병관리청이죠? 치료중인자 는 몇 명으로 파악되고 있습니까?,그게 아니면 사비로 개인적인 검사를 받으셔야합니다
1638,코로나 감염병감염은 무엇으로 진행 되나요?,코로나 검사를 위해서는 선별진료소에 전화후 방문하셔야 합니다.
1639,"그럼, 감염을 차단할 방법은 어떤 것이 있습니까?",보건소는 모두 검사를 해주진 않습니다.
1640,115번사망자의 존명이 무엇입니까?,보건소는 밀접 접촉자들이 우선적으로 검사가 이루어집니다
1641,왜 그런가요?,우선 전화를 먼저 하신후 방문하셔야 합니다
1642,문제가 크게 발생합니까?,근처 보건소나 OOOO에 전화상담 하시면 됩니다
1643,안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신은 언제 쯤 나옵니까?,다 해당되지 않습니다
1644,안녕하세요. 완치자 는 몇 명으로 확인됩니까?,확진자와 밀접접촉자나 코로나 의심되야 무료검사 받으실수 있습니다
1645,코로나19감염은 무엇으로 진행 되나요?,그럼 보건소에 전화 먼저 하시고 가시기 바랍니다
1646,"그렇게 감염 된다면, 감염을 어떻게 차단하나요?",네 주말에도 검사 가능하십니다
1647,115번감염자의 생년월일이 무엇인가요?,보건소마다 시간이 다르니 전화를 해 보시는게 좋을것 같습니다
1648,왜 안되나요?,네 ㅇㅇㅇ보건소입니다
1649,그렇게 문제가 있습니까?,전화번호는 ㅇㅇㅇ.ㅇㅇㅇㅇ.ㅇㅇㅇ입니다
1650,여보세요백신은 언제 쯤 나오나요?,지금 증상만으로는 코로나라고 하긴 어렵습니다
1651,반갑습니다. 확진자 는 몇 명입니까?,"보건소,선별진료소에서 코로나 검사가 필요하다고 판단되어야 무료검사를 받으실수 있습니다"
1652,코로나감염은 어떻게 진행되나요?,네 본인부담이십니다
1653,"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있습니까?",16만원정도 됩니다
1654,115번확진자의 이름이 어떻게 되나요?,그럼 진료비전액 환불해드립니다
1655,뭐때문에 그렇습니까?,"네, 마스크 미착용시 벌금 10만원이 부과 됩니다."
1656,그게 그렇게 문제가 됩니까?,"대중교통이나, 집회, 모임들에 해당 됩니다."
1657,안녕하세요백신은 언제 쯤 나옵니까?,"감염 취약층이 많은 의료기관, 요양시설에서는 마스크 착용이 의무 입니다."
1658,반갑습니다. 치료중인자 는 몇 명으로 확인되나요?,"아니요, 마스크 착용은 필수 입니다."
1659,COV-19감염경로가 어떻게 됩니까?,실내뿐만 아니라 실외라도 꼭 착용하셔야 합니다.
1660,"그럼, 감염 차단을 위한 방법에는 어떤 것이 있나요?",혹시 모를 감염을 위해 마스크 착용을 권고하고 있습니다.
1661,115번확진자의 이름이 무엇인지 알려주실 수 있나요?,"혼자 있을땐 마스크를 벗으셔도 되지만, 손님이 오셨을땐 마스크를 해야합니다"
1662,왜인가요?,"네, 꼭 착용해 주세요."
1663,그게 문제가 됩니까?,"네, 건강을 지키기 위해 꼭 착용 부탁드립니다."
1664,여보세요백신 언제 나오나요?,"네, 그렇죠"
1665,여보세요. 완치자 는 몇 명으로 파악되나요?,덴탈마스크도 비말차단의 효과는 있습니다.
1666,코로나 감염병감염은 무엇으로 진행 되나요?,"네, 두께에 상관없이 비말 차단으로 제작된 것입니다."
1667,"그렇게 감염 된다면, 이를 어떻게 차단합니까?","네, 일반 KF지수가 적힌 마스크나, 덴탈마스크나, 만드는 재질에 따라 가격은 다릅니다."
1668,115번사망자의 존명이 무엇입니까?,면 마스크도 코로나를 예방하는데 효과는 있습니다.
1669,왜 그런가요?,네 착용 가능한 마스크 어떤걸 쓰셔도 됩니다.
1670,문제가 되나요?,KF94마스크 같은경우 공기를 여과 시켜주는 기능이 있는것이죠
1671,안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 개발은 언제 되나요?,"네, 그렇습니다."
1672,문의하상이 있어서 연락드렸습니다. 검사자 는 몇 명인가요?,네궁금하신 점 말씀하세요.
1673,코로나19감염은 어느 경로로 됩니까?,"네, 시중에 많이 공급 되었습니다."
1674,"그렇다면, 감염을 어떻게 막나요?",마스크 사용은 개인의 취향입니다.
1675,115번감염자의 존명이 어떻게 되요?,비말 차단 효과는 면마스크도 있습니다.
1676,왜죠?,"네, 비말 효과는 모든 마스크에 다 있습니다."
1677,그게 문제가 됩니까?,"네, 방법이 있습니다."
1678,안녕하세요백신이 언제쯤 볼 수 있겠습니까?,마스크 안 쪽에 필터지를 넣고 사용하시면 됩니다.
1679,여보세요. 치료중인자 는 몇 명으로 파악되나요?,"네, 자주 깨끗이 세탁하셔서 사용하시면 됩니다."
1680,코로나십구감염은 어느 경로로 됩니까?,"네, 멋진 생각 이십니다."
1681,"그렇다면, 이를 어떻게 차단합니까?",네. 그렇죠
1682,115번확진자의 생년월일이 어떻게 됩니까?,위험한 상황일수 있습니다.
1683,왜그렇죠?,꼭 그렇지만은 않습니다.마스크의 종류와 밀착여부에 따라 달라집니다.
1684,문제가 크게 발생합니까?,마스크를 쓴다고 100% 예방이 되는것은 아니지만 마스크 착용을 의무화 하고 손씻기를 생활화 하면 확률이 많이 줄어 듭니다.
1685,안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신 개발은 언제 되나요?,덴탈 마스크로 모든 바이러스를 차단할수는 없습니다. 예방차원에서 어느정도 가능하다는 말씀입니다.
1686,안녕하세요. 질병관리청이죠? 사망자 는 몇 명으로 통계됩니까?,"네, 물론 그렇습니다만, 100% 완벽하진 않다는 말씀입니다."
1687,코로나19 감염병감염은 어떻게 진행됩니까?,방수 기능의 차이입니다.
1688,"그럼, 감염을 어떻게 막습니까?",마스크의 철사가 있는 부분이 코와 밀착시켜 주시면 됩니다.
1689,115번확진자의 성함이 무엇인지 알려주실 수 있겠습니까?,1일 1회 사용을 권장합니다.
1690,무슨 이유에서 그렇습니까?,최대한 펼쳐서 말린다는 개념으로 보관해 주세요.
1691,문제가 됩니까?,확실한 차단 효과를 가지고 있는 마스크는 식약처의 허가를 받은 보건용 마스크 입니다.
1692,안녕하세요. 궁금한 것이 있어서 연락드렸는데요백신은 언제 쯤 나오나요?,"네, 맞습니다."
1693,안녕하세요. 질병관리청이죠? 완치자 는 몇 명으로 파악되나요?,"약국, 대형마트,편의점에서도 구매가능합니다."
1694,코로나십구감염경로는 어떻게 됩니까?,"네, 식약처 허가여부를 따지셔서 구매 가능합니다."
1695,"그렇게 된다면, 감염을 어떻게 차단하나요?","네, 똑같습니다."
1696,115번확진자의 존명이 무엇인지 알려주실 수 있겠습니까?,어린이용과 성인용의 구분은 얼굴크기에 맞춰 구분하고 있습니다.
1697,왜 그렇나요?,걸어서 보관하시는 것이 가장 좋습니다.
1698,그게 문제인가요?,"아뇨, 최대한 펼쳐서 입이 닿는 부분이 아래로 가도록 보관해 주세요."
1699,여보세요백신 개발은 언제 되나요?,"가급적 일회용으로 쓰시길 권해 드리는데, 노출시간이 짧으면 길게 2~3일정도엔 교체해 주셔야 합니다."
1700,안녕하세요. 사망자 는 몇 명입니까?,"네, 그렇습니다."
1701,COV-19감염은 어떤 경로로 되나요?,WHO에서는 마스크에 남아있을 세균 감염을 우려해 일회용 마스크의 경우 재사용을 하지 않는것을 권장하고 있습니다.
1702,"그렇게 된다면, 감염을 차단할 방법은 어떤 것이 있습니까?","아, 그러시군요. 가끔 일회용 마스크 재사용 문의가 있어서요."
1703,115번감염자의 생년월일이 무엇인가요?,"네, 면마스크는 수시로 빨아 쓰면 더 위생적이지요."
1704,왜인가요?,"네, 감염을 예방하는데 효과가 있다고 보여집니다."
1705,문제가 됩니까?,"네, 쓰레기 문제도 야기 되고 있습니다."
1706,여보세요백신 언제 쯤 볼 수 있을까요?,"네, 귀연결 끈 부분은 가위로 잘라 종량제 봉투에 버려주시면 됩니다."
1707,안녕하세요. 질병관리청이죠? 확진자 는 몇 명으로 통계됩니까?,"네, 마스크와 철심을 분리해 버려주시면 됩니다."
1708,코로나19감염은 어느 경로로 되나요?,벌금을 내거나 처벌 받게 됩니다.
1709,"그렇게 전파 된다면, 감염 차단을 위한 방법에는 어떤 것이 있나요?","네, 상황에 따라 그렇습니다."
1710,115번사망자의 성함이 무엇인지 알려주실 수 있나요?,"네, 맞습니다. 지금은 계도 기간인거죠."
1711,왜그렇죠?,"네, 정부에서 1단계 발표 할때 알렸습니다."
1712,그게 문제됩니까?,30일 계도 기간을 거쳐 11월 13일 부터 부과됩니다.
1713,안녕하십니까?백신 언제 나오나요?,"네, 그렇습니다."
1714,문의하상이 있어서 연락드렸습니다. 검사자 는 몇 명으로 파악되나요?,"네, 맞습니다."
1715,코로나감염은 어떤 경로로 됩니까?,안전신문고나 앱을 다운받으시거나 코로나19 신고센터에 하시면 됩니다.
1716,"그렇게 전파 된다면, 감염을 차단할 방법은 어떤 것이 있습니까?","네, 지금 부천에서 발생된 학원발 감염자의 경우 마스크를 착용했음에도 불구하고 확진자가 발생되었습니다."
1717,115번사망자의 성함이 어떻게 되요?,꼭 그렇다고는 말씀드리기 어렵습니다. 마스크에도 종류가 다양합니다.
1718,왜인가요?,"네, 그렇습니다."
1719,그게 문제인가요?,"네, 무용학원이어서 자세교정을 위해 밀촉 접촉을 하니 더 위험했던것으로 보여 집니다."
1720,안녕하세요백신은 언제 쯤 나옵니까?,정확한건 알수 없지만 지금 상황으론 얇은 일회용 마스크를 착용한것으로 추측되고 있습니다.
1721,안녕하세요. 질병관리청이죠? 확진자 는 몇 명인가요?,일회용 마스크 보단 KF지수가 표시된 마스크를 착용해 주시면 감염률이 낮아 집니다.
1722,코로나감염경로가 어떻게 되나요?,"네, 면마스크도 비말 차단의 효과가 있기때문에 사용하셔도 괜찮습니다."
1723,"그렇게 된다면, 감염을 어떻게 막습니까?","마스크는 필히 착용해주수고, 가급적 KF80내지는 KF94착용을 부탁드리며, 밀촉 접촉되는 발레와 같은 운동은 당분간 피해주시는게 좋습니다."
1724,115번감염자의 존명이 어떻게 되나요?,네. 감사합니다. 건강 조심하세요.
1725,무슨 근거입니까?,6월부터 1인 10매로 구입수량이 늘어납니다
1726,그게 문제인가요?,대리구매가능하십니다
1727,안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신은 언제 나오나요?,단 중복구매를 방지하기 위해서 서류지참하셔야해요
1728,문의하상이 있어서 연락드렸습니다. 완치자 는 몇 명으로 파악되고 있습니까?,가족관계증명서 필요합니다.
1729,코로나 감염병감염은 무엇으로 진행 되나요?,"네, 가능합니다."
1730,"그렇게 감염 된다면, 이를 어떻게 차단합니까?",주중에 분할 구매가능합니다.
1731,115번감염자의 생년월일이 무엇인가요?,생산량이 적어 노약자에게 양보해주세요
1732,왜 그렇나요?,6월말쯤이면 가능할것 같습니다.
1733,그게 문제인가요?,평균적으로 하루 정도 소요됩니다.
1734,안녕하세요. 질문할 것이 있어서 연락드렸습니다.백신이 언제쯤 세상을 볼 수 있을까요?,맞습니다. 4시간이면 가능합니다.
1735,안녕하세요. 치료중인자 는 몇 명인가요?,현재 검사자 수가 증가돼서 그렇습니다.
1736,코로나감염경로가 어떻게 되나요?,보통은 4시간 정도로 예상하시면 됩니다.
1737,"그렇게 전파 된다면, 감염을 어떻게 차단하나요?",10시이전 검사는 보통 오후에 결과 나옵니다.
1738,115번사망자의 성함이 어떻게 되겠습니까?,검사현장에 따라 다를 수 있으니 확인바랍니다.
1739,왜 안되나요?,검사 결과는 개인 휴대폰으로 통보됩니다.
1740,그게 문제인가요?,검사 잘 받으시길 바랍니다.
1741,여보세요백신 개발은 언제쯤 완료되나요?,네. 검사 결과 확인서가 필요하시네요.
1742,여보세요. 완치자 는 몇 명으로 파악되나요?,"먼저, 검사가능한 병원에 예약을 하시면 됩니다."
1743,공적마스크 구매할려고 하는데요,네. 병원에서 알려주시는데로 진행하시면 됩니다.
1744,아무때나 가서 구입하면 되나요?,실제 검사결과는 10분이면 됩니다.
1745,대리구매 가능한가요?,검사후 결과가 나오기가지 시간이 걸립니다.
1746,저는 OO년생이예요 그럼 언제가나요?,검사 결과는 안내 문자로 발송됩니다.
1747,몇 개까지 구매가능한가요?,질본 홈페이지에서 서류발급 받으시면 됩니다.
1748,미성년자는 어떻게 하나요?,아닙니다. 
1749,외국인인경우는요?,우편발급도 가능하세요.
1750,나이드신 어르신도 대리구매 가능한가요?,검사 받으실때 결과 통보 방법을 선택하시면 됩니다.
1751,주중에 구입을 못하며 어떻게 하나요?,현재 잘못된 정보로 혼란을 겪는 분들이 많지만 사실이 아닙니다. 
1752,마스크 구매하고 싶은데 품절이라 구매가 불가한데 어디에서 구매 해야 하나요?,정부에서는 의료인의 판단에 개입하지 않습니다.
1753,두개만 가지고 살 수 있어요?,의료인 또한 정부에 의해 환자에게 해를 끼치지 않습니다.
1754,썻던 마스크를 또 써도 되는거에요?,아닙니다. 검체를 채취하시는 분들은 따로 있어요
1755,찝찝한데 어디에서 살 수 있어요?,오직 의료적 목적으로 채취하고 있습니다
1756,다이소나 인터넷에서 사는것도 가능해요?,도구 자체는 사전에 무균 밀봉상태입니다. 
1757,마스크에 대해 문의좀 할게요~,아직 논의 중입니다. 
1758,마스크가 너무 비싼대 한번만 쓰고 버려야 하나요?,포장만 하실 수 있습니다
1759,두번씩은 못쓰는거에요?,네 그렇죠
1760,방향이 따로 있어요?,콧물이 감염경로 입니다.
1761,주름이 아래로 가게 해야 되는 이유가 따로 있어요?,지금처럼만 하신다면 문제 없습니다.
1762,벗을때는 어떻게 해야 하는데여?,개인정보는 알려드릴 수 없습니다.
1763,이유는요?,개인정보 보호문제 때문 입니다.
1764,코로나 백신 나왔다고 사람들이 말하던데 사실인가요?,예 그렇습니다.
1765,코로나 시대의 종말이 찾아왔나요?,"아직, 정해진 것은 없어요."
1766,전혀 이해가 안되요 상담사님?,"네, 질병관리청 상담원 OOO이었습니다."
1767,코로나 시국은 계속 된다는 말씀이시군요.,금일은79명 으로 통계되요.
1768,그럼 어떻게 해야 하나요?,침이 감염의 경로에요.
1769,저의 의문점은 도대체 언제 끝난 다는 것인거에요? 도대체가 언제 끝나요?,지금처럼만 하신다면 문제 없어요.
1770,아아 제가 말을 잘못했네요. 우리나라에 백신은 언제 들어요죠?,개인정보는 공개할 수가 없습니다.
1771,"진짜, 우리나라 머하고 있죠? 백신이 나왔다는데 가져오지도 못하고 개발도 못하고 뭐하는 겁니까?",개인정보 보호문제 때문에요.
1772,코로나 백신 나왔다고 하던데요?,법으로 처벌 당하실 수 있습니다.
1773,드디어 코로나 바이러스 시대가 종식 된건가요?,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
1774,백신 개발 되었으면 끝 아니에요?,고맙습니다. 질병관리청 상담원 OOO이었습니다.
1775,계속 코로나랑 같이 살아야 한다고요?,오늘은 79명 으로 확인되요.
1776,그럼 지금 상태를 계속 유지해야 하는 것인가요?,비말 또는 채액로 감염되요.
1777,"오 마이 갓, 이러한 지옥이 언제까지 이어 질 것 같나요?",지금처럼만 하신다면 문제 없습니다.
1778,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",개인정보는 비공개 사항입니다.
1779,한국은 머해요?,개인 보호때문에 그래요.
1780,코로나 백신 나온 것이 확실해요? 사람들이 축제던데요.,법으로 처벌 받으실 수 있어요.
1781,코로나 바이러스 걱정을 안해도 되는 거죠?,정해진 날짜는 없어요.
1782,백신 개발 되었으면 끝 아니에요?,끝으로 질병관리청 OOO이었어요.
1783,그럼 긴장의 끈은 놓지 말아야 한다? 이말씀을 하고 싶은 것 인가요?,금일 하루 79명 이에요.
1784,"코로나가 아직 종식이 안됬으면, 형 상태 유지이네요. 이게 말이 되요? 그럼 계속 조심하고 다녀야 겠네요?",콧물로 감염이 시작되요.
1785,"좋아요. 좋아 그렇다 치고, 코로나는 언제 끝날 것 같습니까?",위와 같은 사항을 하고 계신다면 괜찮아요.
1786,우리나라에 코로나 백신은 언제 쯤 들어와서 코로나를 안볼 수 있을까요?,개인정보는 공개가 불가능 합니다.
1787,"우리나라는 뭘 하고 있길래, 백신이 언제 들어온다 말도 못하는 겁니까?",개인 보호문제가 발생하기 때문에요.
1788,코로나 백신 나왔다고 하던데요?,법으로 처벌 받으실 수 있어요.
1789,이제 팬데믹이 종료 되는 건가요?,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없어요.
1790,왜 그런거죠?,이상 질병관리청 OOO이었어요.
1791,코로나 감염병이 아직 까지는 활개를 치고 다닐꺼다. 이 말인가요?,오늘은 79명 으로 나타나고 있어요.
1792,그럼 저는 어떻게 해야 하지요?,비말 또는 채액로 감염이 시작되요.
1793,"진짜 인내심을 가지고 물어보는데, 언제 끝나요? 언제 끝나요?",위와 같은 사항을 하고 계신다면 괜찮아요.
1794,"그렇다면, 코로나 백신은 언제 쯤 구경할 수 있을까요?",개인정보는 알려드릴 수가 없습니다.
1795,한국은 머해요?,개인정보 보호법 문제가 발생하기 때문에요.
1796,코로나 백신 나왔다고 하던데요?,네 그렇습니다.
1797,이제 코로나 팬데믹이 종료 되는 건가요?,정해진 날짜는 없습니다.
1798,감염병에 백신이 개발되었다. 병이 다 죽는다. 끝 아닙니까?,고맙습니다. 질병관리청 OOO이었습니다.
1799,코로나 시국은 계속 된다는 말씀이시군요.,오늘 하루 79명 으로 통계되요.
1800,무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,대인접촉로 감염경로가 생겨나요.
1801,"오 마이 갓, 이러한 지옥이 언제까지 이어 질 것 같나요?",지금처럼만 하신다면 되요.
1802,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",개인정보는 비공개입니다.
1803,우리나라 방역만 잘하고 치료는 못하는 그런 나라였어요? 진짜에요?,개인정보 보호때문에요.
1804,코로나 백신이 나왔다고 하던요?,네
1805,그럼 코로나도 이제 끝인가요?,정해진 날짜는 없습니다.
1806,병에 약이 개발되었다고 하는데 그럼 끝 아니에요?,"좋은 시간 되셨기를 바라며, 상담원 OOO이에요."
1807,계속 코로나랑 같이 살아야 한다고요?,금일 하루 79명 입니다.
1808,아 그럼 어떻게 하라구요?,콧물로 감염이 전파됩니다.
1809,"그럼, 도대체 코로나는 언제 끝나죠?",지금처럼만 하신다면 됩니다.
1810,"제가 질문이 잘 못된 것 같군요. 그렇다면, 우리나라에 코로나 백신은 언제쯤 들어올 수 있을까요?",개인정보는 비공개 사항입니다.
1811,우리나라 방역만 잘하고 치료는 못하는 그런 나라였어요? 진짜에요?,개인정보 보호때문에요.
1812,코로나 백신 나왔어요? 진짜에요?,예 그렇습니다.
1813,이제 코로나 팬데믹이 종료 되는 건가요?,"아직, 정해진 기한이 없습니다."
1814,백신 개발 되었으면 끝 아니에요?,"감사의 인사를 올리며, 상담원 OOO이었습니다."
1815,그럼 아직 팬데믹은 유효한가요?,금일은79명 으로 나타나고 있습니다.
1816,"코로나가 아직 종식이 안됬으면, 형 상태 유지이네요. 이게 말이 되요? 그럼 계속 조심하고 다녀야 겠네요?",콧물로 감염경로가 생겨나요.
1817,"좋아요. 좋아 그렇다 치고, 코로나는 언제 끝날 것 같습니까?",위와 같은 사항을 하고 계신다면 괜찮아요.
1818,그럼 질문을 바꿔보죠. 우리나라에 백신이 언제 들어올 것 같아요?,개인정보는 비공개입니다.
1819,"우리나라는 백신도 못얻고, 개발도 못하고, 현상태 유지만 하고 있고 뭐하는 것이죠?",개인정보 보호법 때문에 공개할 수 없습니다.
1820,코로나 감염병에 대한 백신이 나왔다고 뉴스에 나오던데 사실인가요?,법으로 처벌 당하실 수 있습니다.
1821,코로나 바이러스 걱정을 안해도 되는 거죠?,백신 개발이 어려워 지고 있어 날짜를 장담할 수 없습니다.
1822,무슨 이야기 인가요? 논리적으로 이해가 안되는데요?,"좋은 시간 되셨기를 바라며, 질병관리청 상담원 OOO이에요."
1823,코로나 시국은 계속 된다는 말씀이시군요.,오늘 하루 79명 으로 확인되요.
1824,무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,채액로 감염이 시작되요.
1825,제가 궁금한건 이 코로나 상황이 언제 쯤 끝날 수 있냐는 겁니다. 매우 궁금해요. 도대체 언제 끝나죠?,위와 같은 사항을 지키고 계신다면 괜찮아요.
1826,"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",개인정보는 공개가 불가능 합니다.
1827,우리나라 방역만 잘하고 치료는 못하는 그런 나라였어요? 진짜에요?,개인 보호때문에 공개할 수 없습니다.
1828,코로나 백신 나왔어요? 진짜에요?,예
1829,코로나 시대의 종말이 찾아왔나요?,"아직, 정해진 기한이 없습니다."
1830,무슨 말도 안되는 소리에요?,"감사의 인사를 올리며, 질병관리청 OOO이었어요."
1831,그럼 긴장의 끈은 놓지 말아야 한다? 이말씀을 하고 싶은 것 인가요?,오늘 하루 79명 으로 통계됩니다.
1832,그럼 지금 상태를 계속 유지해야 하는 것인가요?,입 분비물로 감염이 시작됩니다.
1833,"진짜 인내심을 가지고 물어보는데, 언제 끝나요? 언제 끝나요?",위와 같은 사항을 지키고 계신다면 괜찮아요.
1834,우리나라에 코로나 백신은 언제 쯤 들어와서 코로나를 안볼 수 있을까요?,개인정보는 알려드릴 수 없습니다.
1835,맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,개인정보 보호법 문제 때문에요.
1836,코로나 백신 나온 것이 확실해요? 사람들이 축제던데요.,법으로 처벌 당하실 수 있습니다.
1837,코로나 바이러스가 끝인건가요?,"아직, 정해진 기한이 없어요."
1838,도대체 무슨 이유로 그런 설명을 하시는 거죠?,"감사의 인사를 올리며, 질병관리청 상담원 OOO이었습니다."
1839,코로나 시국은 계속 된다는 말씀이시군요.,금일 하루 79명 으로 통계되요.
1840,에고.. 그럼 계속 이 상태를 유지해야 하는 것이 맞나요?,대인접촉이 감염의 경로입니다.
1841,저의 의문점은 도대체 언제 끝난 다는 것인거에요? 도대체가 언제 끝나요?,지금처럼만 하신다면 괜찮습니다.
1842,그럼 질문을 바꿔보죠. 우리나라에 백신이 언제 들어올 것 같아요?,개인정보는 공개할 수 없습니다.
1843,맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,개인 보호때문에 그래요.
1844,문의가 있어서 연락드렸는데요. 질병관리청이 맞죠?,예 그렇습니다.
1845,학교에서 코로나 확진자가 나왔다고 하는 소문이 들리는데 어떻게 하면 되나요? ,백신 개발은 날짜를 정할 수 없습니다.
1846,"알고 봤더니, 기사에 나오고, OO모씨라고 하는데 특정 인물 식별할 수 있고 그런건 아닌 것 맞습니까?",감사합니다. 질병관리청 OOO이었어요.
1847,진짜 가야되요? 가면 돈 내야 한다면서요. 아직 괜찮은 것 같기도 한데요.,오늘은 79명 으로 나타나고 있어요.
1848,코로나 상담 센터 맞지요? 코로나에 대해서 궁금한 것이 있는데요. ,침로 감염이 전파됩니다.
1849,코로나 확진자 수를 알고 싶어서 전화드렸는데요?,지금처럼만 하신다면 되요.
1850,어떤 싸이트 들어가면 금일 신규 확진자 수 나오고 하는데 그건 뭡니까?,개인정보는 알려드릴 수가 없습니다.
1851,정확하지 않은 정보를 제공하고 있었군요?,개인정보 보호법 때문에 그렇습니다.
1852,그럼 그곳에서 제공하는 실시간 환자 수도 거짓이겠네요?,법으로 처벌 받으실 수 있어요.
1853,제가 데이터를 써야하는데 어디서 믿음직한 정보를 얻을 수가 있을까요?,백신 개발은 정해진 날짜를 알 수 없습니다.
1854,잠깐만요. 흡연자는 코로나 걸릴 확률이 높은 지도 알고 싶어요.,고맙습니다. 상담원 OOO이었습니다.
1855,코로나 백신 나온 것이 확실해요? 사람들이 축제던데요.,오늘 하루 79명 입니다.
1856,그럼 코로나도 이제 끝인가요?,채액로 감염됩니다.
1857,전혀 이해가 안되요 상담사님?,지금처럼만 하신다면 괜찮아요.
