q,a
네이버 지도요?,네.
카카오지도는 안되나요?,네 안됩니다. 
마스크 5부제는 폐지됐나요?,네 고객님 폐지되었습니다. 
언제부터요?,6월부터입니다. 고객님 
지금 나오는 마스크는 여름용인가요?,조금 얇게 나오는 제품도 있어서 구매하실때 확인하세요 
네 알겠습니다. ,감사합니다. 고객님 
공적마스크 관련해서 궁금한 점이 있어서요.,네 무엇을 도와드릴까요?
시간날때 아무때나 가서 구입하면 되나요?,죄송합니다만 5부제로 요일별 구매가 가능합니다.
아 그래요?,네 생년을 기준으로 구매요일이 달라 집니다.
저는 75년 생인데 그럼 언제이죠?,"생년 끝자리 5,0으로 끝나는 분들은 금요일에 구매가 가능합니다."
아 전 금요일에 살수있는 거군요?,네 그렇습니다.
한번에 한장 살수 있는 건가요?,1인당 두매 입니다.
아이들도 직접 가야 하나요?,미성년 자녀를 말씀하시는 건가요?
네,미성년 자녀의 경우 보호자가 대리구매 가능합니다.
그냥 방문하면 되나요?,주민등록 등본과 본인 신분증을 지참하시면 됩니다.
대신 구매할수 있어 다행이네요. 자세한 안내 고마워요,편안한 오후 되십시요
안녕하세요 ,안녕하세요 
뉴스에서 화이자 라는 제약회사가 코로나백신개발 성공 가능성이 높다는데 맞나요 ,네 성공 가능성이 높다는 보도가 나왔습니다 
어느나라 제약회사 인가요 ,미국입니다 
백신 성공률이 90%라고 맞나요 ,네 현재 90% 성공률을 보이고 있다고 보도 된바 있습니다 
질병관리본주에서 내년 2분기까지 백신 확보를 하겠다고 발표한 기사를 봤는데 가능성이 높은가요 ,질병관리본부에서 최선을 다하고 있습니다 
백신이 빨리 나와서 일상생활로 돌아 갈 수 있으면 좋겠어요 ,네 안전을 최우선으로 하기 때문에 시일이 걸릴 순 있지만 빠른시일 안에 정상화 되기를 바랍니다
우리나라도 백신연구에 참여하고 있나요 ,네 
기업체 이름을 알 수 있나요 ,"SK바이오사이언스, 제넥신 등입니다 "
안녕하세요,안녕하세요
마스크착용 계도기간을 알고 싶은대요 ,네 
언제까지인가요 ,11월12일까지입니다 
시행날짜가 내일이네요 ,네 
내일부터는 마스크 미착용시 벌금을 내야 하나요 ,네 마스크 미착용시 과태료 대상이 됩니다 
벌금이 얼마죠 ,10만원 입니다 
식당이나 카페에서는 괜찮나요 ,음식을 섭취하지 않을때는 마스크 착용 하셔야합니다
턱스크나 입만 가리고 있는건 어떻게 되나요 ,마스크 미착용으로 간주 됩니다 
마스크종류에도 상관이 있나요 망사마스크나 플라스틱 입가리개 같은건요 ,네 마스크 미착용으로 간주 됩니다 
마스크 착용을 하지 않았을때 안한 사람만 벌금을 내나요 아니면 식당이나 카페 주인도 내게 되나요 ,마스크착용 안한 본인이 과태료 대상이되며 식당이나 카페 직원도 권유해야 하고 그렇지 않을경우 과태료가 부과 될 수 있습니다 
아 그렇군요 알겠습니다 ,GC녹십자로 명칭은 'GC5131A'입니다.
종류가 있나요?,사백신과 생백신이 있습니다.
사백신이 뭔가요?,죽은 바이러스입니다.
그럼 생백신은요?,매우 약한 상태의 바이러스입니다.
언제쯤 치료제가 나올까요?,아직은 연구개발 중입니다.
치료제가 빨리 만들어지면 좋겠네요.,문의 주셔서 감사합니다.
해외 출장이 잡혀서 검사를 받아야하는데요.,해외출장으로 선제검사를 하고 싶으신가요?
네 ,무증상자 이신가요?
네 ,"손씻기, 기침예절, 사람간 2m이상 거리두기 등 생활수칙을 준수하는 것이 코로나 19 예방에 더 효과적이고 중요합니다."
손씻기 요령이 있나요?,"흐르는 물과 비누로 30초 이상 씻으시고, 손소독제를 사용하시는 것도 좋습니다."
기침예절에 대해 알려주시곘어요?,"기침이나 재채기를 하실 경우, 휴지나 옷소매 안쪽으로 입과 코를 가리신 후 해주시기 바랍니다."
2m거리를 지키지 못 할 경우는 어떻게 하나요?,"2m이상 거리를 지키지 못하실 경우, 최소한 1m라도 거리유지를 해주시기 바랍니다."
아프면 3-4일 쉬라고 하는데 자가격리할때 처럼 지내야 하나요?,"자가격리 수준은 아니지만, 열이 나거나 호흡기 증상이 있는 동안에는 가능한 주변 사람과 만나지 않을 것을 권고드립니다."
독감일 수도 있잖아요?,열이 나거나 호흡기 증상이 있다면 집에서 3-4일간 쉬면서 외부활동을 최대한 자제하셔야 합니다.
안녕하세요. 거리두기에 대해 궁금한게 있는데요?,"네, 말씀하세요."
실내에서 환기만 제대로 하고 2m 유지만 제대로 하면 괜찮을까요?,환기는 실내 공기를 교체하여 공기중의 바이러스 농도를 낮춰주는 효과가 있습니다. 
그럼 마스크를 쓰고 있어도 거리두기가 중요한가요?,마스크 착용만으로 코로나 19 감염 전파를 완벽하게 예방할 수는 없습니다.
이런데서는 어떻게 해야하나요?,버스나 지하철등 대중교통을 이용하실 경우 가능한 한자리씩 띄어앉으시고 마주보지 않는 자리에 앉으시는 것을 권해드립니다.
그럼 야외에서는 괜찮은가요?,야외에서는 실내 밀집된 곳 보다는 안전합니다.
엘리베이터 같은곳에서는요?,"엘리베이터와같이 좁은 밀폐된 공간에 다수의 사람들이 이용하는 곳의 경우, 마스크를 필수로 착용하시고 대화는 자제해 주시기 바랍니다."
안녕하세요. 궁금한게 있는데요?,"네, 무엇이 궁금하신가요?"
휴지로 입을 가릴때랑 옷소매로 가리는거랑 어떤게 더 나은가요?,기침이나 재채기를 할 때 휴지로 입과 코를 가리시는 것이 좋습니다.
휴지가 없으면요?,갑자기 나오는 기침과 재채기의 경우 옷소매 안쪽으로 입과 코를 가리는 것 도한 충분히 도움이 됩니다.
그럼 옷소매로 가리면 소매부분도 소독해야 하나요?,"기침이나 재채기 후에는 반드시 손을 씻고, 이물질이 묻어있는 옷소매는 만지지 않으시길 바랍니다."
집에서도 마스크를 꼭 쓰고있어야 하나요?,"혼잡하지 않은 야외나 가정내, 개별공간에서는 마스크를 착용하지 않으셔도 됩니다."
마스크 한 번 쓰고 버리기 아까운데 재사용해도 되나요?,"오염 우려가 적은 곳에서 일시적으로 사용하신 경우, 환기가 잘되는 깨끗한 곳에 보관하신 후, 동일인에 한하여 재사용이 가능합니다."
그럼 짧게 쓰면 몇 번 재사용 해도 상관없겠네요?,"그렇긴 하지만, 오염에 자주 노출 될 수록 바이러스 번식율이 높아지니 재사용은 가능한 한 번만 권해드립니다."
그렇군요. 알겠습니다.,"네, 감사합니다."
황사나 미세먼지가 심한 날에는 어떻게 하면 되나요?,바깥공기가 나쁘다고 해서 환기를 전혀 하지 않으면 이산화탄소나 휘발성 유기화합물같은 안좋은 물질들이 실내에 축적되어 공기 질이 나빠집니다.
공기청정기가 있는데 얘로 환기하면 안되나요?,공기청정기와 관계없이 주기적으로 환기를 해주시기 바랍니다.
환기시키면 공기 통해서 전염될 수도 있지 않을까요?,"코로나19는 감염된 사람이 기침 또는 재채기를 했을떄 발생한 침방울이 다른사람의 호흡기로 들어가거나 손에 묻은 바이러스가 눈,코,입 등의 점막을 통해 침투하여 감염되는 것으로 알려져 있습니다."
아파트 승강기 버튼에 향균필름 붙여놓는건 효과가 있나요?,향균필름이 뭍여져있다고 해도 많은 사람들이 만진 표면을 만지시면 손소독제를 쓰시거나 손씻기를 하셔야 합니다.
가정에서 할 수 있는 소독법에는 뭐가 있을까요?,가정에서 소독을 하실 때에는 환경부에서 승인하거나 신고된 제품을 사용하셔야 합니다.
소독제 많이 쓰다보면 인체에 해롭지 않나요?,"환기가 잘 되는 곳에서 사용법에 따라 소독액과 물을 희석하는 등 제조회사의 권장사항을 준수하신 경우, 건강에 미치는 영향은 걱정하지 않으셔도 됩니다."
마스크 재사용에 대해 궁금한게 있는데요?,무엇이 궁금하신가요?
한 번 쓴 마스크에 소독제를 뿌려서 여러 번 써도 될까요?,마스크는 일반적으로 1회 사용을 권고합니다.
"그렇군요, 그럼 앞으로 지인들과 대면모임은 못하는 건가요?","밀폐된 공간에서의 모임이나 활동, 사람들이 많은 장소에서의 모임은 최소화 하는 것이 좋습니다."
코로나 19에 관한 루머를 접하게 되면 어떻게 하면 될까요?,"감염병의 경우, 의료분야가 사람들에게 생소한 분야일 뿐 아니라 직접 위협이 될 수 있는 상황이기 때문에 정보애 대한 민감성이 높을 수 밖에 없습니다."
알겠습니다.,감사합니다.
확진자 동선 공개에 대해 궁금하게 있는데요?,"네, 말씀하세요."
확진자 발생 후 SNS나 문자 등으로 알림을 주잖아요?,"네, 그렇습니다."
발생한 즉시 동선 공개는 불가능한가요?,면역력을 강화하는 식품을 섭취하시거나 개인 건강에 신경 쓰시면 됩니다.
면역력과 코로나의 상관관계 연구가 결과가 있나요?,연구 결과는 없지만 현재 의료진이 코로나 예방을 위한 방법으로 면역력 관리를 말합니다.
그렇군요 잘 챙겨 먹어야겠네요.,"네, 건강 관리에 신경써 주세요."
코로나시대가 장기화면되서 비대면 서비스가 많아졌나요?,"네, 그렇습니다."
대체로 어떤게 있나요?,카페 이용시 포스를 이용한 주문 방법 또는 어플을 통한 은행 업무 등이 있습니다.
은행 업무도 어플로 가능해요?,"네, 대부분 비대면으로 가능하십니다."
그만큼 취업난도 심하겠네요?,"네, 코로나로 인해 취업난이 점점 높아지고 있습니다."
뉴스에 완치자 중에서 재감염 된 환자들이 있다고 하던데요?,그렇습니다.
코로나 완치되면 항체가 생기는 거 아닌가요?,항체가 생기긴 합니다.
근데 왜 또 걸리죠?,네 예년에 비해 빠른 속도로 접종률이 증가하고 있습니다.
한번은 오후에 갔다가 백신이 없어서 못맞았어요.,현재 독감 백신은 하루 100인으로 제한됩니다. 
아니 대체 왜 다들 백신맞으려고 하는 건가요?,독감으로 인해 열이 나면 코로나 검사를 받아야 한다고 생각들 하셔서 그런것 같습니다.
"아, 독감이랑 코로나랑 증상이 비슷해요?",네 그렇습니다.
의사들은 구분할 수 있지 않아요?,열이 나면 우선 코로나 검사를 받고 음성판정이 나와야 진료가 가능합니다.
코로나 덕분에 진료도 맘편히 못받는 상황인 거네요.,네 그렇습니다.
코로나 백신은 언제쯤 개발 될까요?,현재 국내외 여러 제약사에서 진행중이나 시간은 확답을 드릴수가 없습니다.
네 알겠어요 수고해요,네 편안한 하루 되십시요
코로나 후유증 중에 브레인 포그라는 것이 있다던데…,완치자 중 브레인 포그 증상을 겪는 분이 간혹 있습니다.
브레인 포그가 정확히 뭔가요?,"건망증, 느린 사고, 집중이 어려워지는 증상이 나타나는 인지기능장애의 한 종류입니다."
실례지만 여쭤 볼께요 정부기관에서하는 코로나 집계 그거 믿을 수 있는겁니까?,선생님 공정하고 신속한 정보로 실시간 집계되고 있습니다.
그걸 어떻게 믿습니까? ,선생님 정부에서는 의료인의 판단에 개입할 수 없습니다. 
그럼 해외에서 계속 사람들 들어오는데 왜 안막고 있습니까?,선생님 현재 해외에서 입국시 코로나 검사와 격리관찰하고있으며 원활하게 관리되고있습니다.
그럼 언제까지 마스크쓰고 다니란 말입니까?,선생님 가을이후 코로나19를 비롯 독감 확산 또한 우려되어 마스크는 필히 착용하셔야 합니다.
그럼 백신은 아직도 개발이 안됐습니까?,선생님 국내외 의료기관에서 최선을 다해 개발중에 있습니다.
그래서 언제 나오냐니까?,선생님 정부에서는 올해에 백신이 개발될 수있도록 속도를 내고 있습니다. 하지만 여러 검증절차로 시간이 걸릴것으로 예상됩니다.
후우~ 그럼 결론은 아직 모른다는거네요.,그럼 엘리베이터에서 왜 마스크꼭 쓰라는거요?
어쨌든 알겠어요 뭐가 이럽니까….참..,"네, 선생님 좋은 날 되세요."
"식당 하고 있는데요. 마스크 문의하고 싶어서요,",구체적으로 말씀해 주시겠어요?
플라스틱으로 된 마스크요.,조리용 마스크를 말씀하시나요?
그거 쓰고 음식해도 되는 거예요?,음식점 및 취급시설 종사자는 조리용 또는 보건용 마스크를 착용 할 수 있습니다.
거의 뚫려있던데 사용해도 되요?,"네, 허가하고 있습니다."
허가했다니 다행인데 그냥 일반 마스크 쓰면 안되나요?,조리시 높은 온도로 인해 일반 마스크 착용이 어려운 점 양해 바랍니다.
그럼 홀서빙하는 사람도 해당되나요?,조리실 외의 공간에서는 반드시 일반 마스크 착용해야 합니다.
서빙할 때는 일반 마스크 써야 한다는 거죠?,"네, 그렇습니다."
KF94말고 일반 일회용 마스크도 된다는 거죠?,네 그렇습니다.
코로나 소독약 좀 받을 수 있어요?,가까운 동주민센터에 신청 바랍니다.
마스크착용 단속관련 문의입니다.,네. 말씀하세요.
혹시 마스크 착용 등 방역지침 준수 여부 단속은 어디에서 하나요?,"질병관리청장, 관할 시/도지사 또는 시장/군수/구청장이 과태료를 부과/징수할 수 있습니다."
과태료 부과는 어느 부서에서 처리하는데요?,시설의 소관부서 또는 단속 전담부서 등 단속을 시행한 부서에서 처리합니다.
그럼 마스크 미착용 등 위반행위 적발 시 즉시 과태료를 부과하나요?,"위반행위 적발 시, 먼저 당사자에게 마스크를 착용할 것을 지도합니다."
아~ 그럼 바로 부과하는 건 아니네요?,네. 불이행 시 단속근거를 설명하고 과태료를 부과합니다.
"구체적인 과태료 부과 절차는 어떻게 되나요? 아니, 어느 법에 따라 과태료를 부과하는거죠?",질서위반행위규제법의 절차에 따라 과태료를 부과합니다.
이제 구체적으로 알려주세요.,"위반행위 적발, 단속자 신분증 제시&단속근거설명, 위반자 인적사항 확인, 사전통지 및 의견제출 안내, 과태료 부과통지, 이의제기 안내 순입니다."
만약 마스크 착용 시 호흡이 어려운 사람은요?,그럴 경우 의견제출 기간 내 진단서/소견서를 제출하실 수 있습니다.
어떤 법에 따라서요? 좀 정확히 알고 싶네요.,의료법 시행규칙 제9조에 따른 것입니다.
네. 유익한 정보 감사합니다.,네. 감사합니다~
마스크 미착용 단속 관련 문의입니다.,네. 말씀하세요.
마스크를 의무적으로 착용해야하는 장소는 어딘가요?,전파 우려가 큰 다중이용시설 등을 대상으로 합니다.
만약 2번째 단속되면 과중되어 부과되나요?,위반 횟수는 상관이 없습니다.
그런데 모든 사람에게 과태료가 부과되는 건가요?,"24개월 미만 영유아, 도움 없이 스스로 마스크를 착용/벗기 어려운 사람, 착용 시 호흡이 어려운 사람은 의무화 대상에서 예외됩니다."
만 14세 미만도 그럼 부과하는건가요?,아닙니다. 만 14세 미만도 예외입니다.
알겠습니다. 감사합니다.,"네 건강한 하루되세요,"
안녕하세요 ,안녕하세요 
마스크의무착용이 시행 되고 있자나요 외출을 하다보면 애들은 마스크를 안하고 있는 경우도 간혹 보게되요 괜찮나요 ,네 아이들도 마스크는 착용 해야 합니다 
아이들은 과태료 대상이 아니라고 하던데 몇살까지 해당 되나요 ,네 만14세 미만은 과태료 대상이 아닙니다 
그럼 만 15세 부터는 과태료 대상이 되는건데 성인과 금액이 동일 한가요 ,네 과태료 금액은 동일합니다 
별금이 10만원이죠 ,네 
마스크는 아무거나 착용 하면 되는건가요 ,망사마스크나 벨브형 마스크 제외하고 착용 가능합니다 
천마스크나 비말마스크등 상관 없나요 ,네 상관 없습니다 
마스크 의무 착용 시행 이후 미착용 적발자가 많은가요,아니오 대다수의 시민들이 마스크 착용을 잘 해주셔서 거의 없습니다 
안녕하세요 ,안녕하세요 
뉴스에서 미국 화이자 회사에서 FDA긴급사용 승인 신청을 해서 올해 접종 가능하다는 기사를 봤는대요,네 
우리나라에서도 화이자에서 개발한 백신을 올해 맞을 수 있을까요 ,올해는 어려울것으로 보입니다 
백신을 빨리 맞을 수 있다면 일상생활로 돌아갈 수 있을것 같은데 아닌가요 ,네 그렇죠
우리나라도 빨리 백신을 구매해서 맞을 수 있게 해야되지 않나요 ,네 우리나라는 백신의 안정성 확인후 결정 할것으로 보입니다 
안정성을 확인 할 필요도 있겠네요 ,네 
그럼 아직 백신계약은 안한거에요,네 안정성을 확인후 계약할 회사를 찾을 예정입니다 
화이자 말고 백신 개발 성공을 앞둔 회사들이 더 있나요 ,네 
어디죠,"모더나,존슨앤존스 등 과 독일, 러시아 제약회사도 승인을 앞두고 있습니다 "
백신계약은 언제쯤 가능할까요 ,빠른시일내에 진행 될 예정입니다 
코로나 예방에 좋은 영양제가 있나요?,영양제가 코로나를 예방한다는 근거는 보고된바 없습니다.
사람들은 많이 사먹던데 가짜인가요?,건강보호 목적으로 섭취하시는 것 같습니다.
비타민c로 코로나 환자 치료도 한다던데요?,코로나 치료약을 만들기 위한 시도 중 하나이지만 효과가 있다고 발표되지 않았습니다.
그래도 도움이 되고 먹으면 좋긴 한거죠?,"코로나 에방, 치료와의 연관성은 밝혀진 것이 없습니다."
백신이 빨리 만들어지면 좋겠어요,백신 연구 중에 있습니다.
언제 만들어져요?,연구 중에 있는 관계로 확실한 시기는 알 수 없습니다.
만들어지면 독감예방주사처럼 바로 가서 맞는다구요?,맞는 시기와 연령에 대해선 아직 논의가 이루어지지 않았습니다.
그것도 어린이랑 노인분들만 무료로 맞춰주나요?,백신 무료 접종 여부에 대해서도 논의가 이루어지지 않았습니다.
알겠습니다.,더 궁금한 점 있으십니까?
이제 없네요,"네, 감사합니다."
백신문의 드립니다,네 말씀하세요
뉴스에서 화이자 라는 제약회사가 코로나백신개발 성공 가능성이 높다는데 맞나요 ,네 성공 가능성이 높다는 보도가 나왔습니다 
어느나라 제약회사 인가요 ,미국입니다 
백신 성공률이 90%라고 맞나요 ,네 현재 90% 성공률을 보이고 있다고 보도 된바 있습니다 
질병관리본주에서 내년 2분기까지 백신 확보를 하겠다고 발표한 기사를 봤는데 가능성이 높은가요 ,질병관리본부에서 최선을 다하고 있습니다 
백신이 빨리 나와서 일상생활로 돌아 갈 수 있으면 좋겠어요 ,네 안전을 최우선으로 하기 때문에 시일이 걸릴 순 있지만 빠른시일 안에 정상화 되기를 바랍니다
우리나라도 백신연구에 참여하고 있나요 ,네 
기업체 이름을 알 수 있나요 ,"SK바이오사이언스, 제넥신 등입니다 "
티비에 나오는 마스크 미착용 난동자들은 어떻게 되나요?,감옥에가거나 벌금을 냅니다.
벌금은 얼마죠?,마스크 미착용 벌금은 10만원입니다.
계도기간을 두나요?,"네, 30일 계도 기간을 거쳐 11월 13일부터 부과됩니다."
그전까지는 벌금을 안내나요?,"네, 그렇습니다."
노마스크 신고는 어디서 하나요?,안전신문고 앱을 다운받으시면 코로나 19 신고란에서 신고가능합니다.
성남시 신고는 몇번인가요?,OOO OOO OOOO~0 번입니다.
용인은요?,OOOO OOO OOOO번 입니다.
마스크없이 산책하는 분들도 신고해야 하는건가요?,실내/외에서 마스크착용이 의무화이므로 착용하시는걸 권장드립니다.
"안전신문고 앱 다운은 안드로이드,아이폰 둘다 가능한가요?","네, 둘다 다운로드 가능합니다."
노마스크 신고 포상금은 없나요?,"네, 아직 없습니다."
감염자와 비감염자가 마스크를 끼고 일상에서 대화시 감염이되나요?,그렇습니다. 마스크를 끼고 대화를 해도 감염자에게 감염될 위험성이 있습니다.
마스크를 썻는데 왜죠?,"마스크의 종류가 다양하고, 마스크가 안면에 완전히 밀착되지 않는것도 있기때문에 감염 가능성이 있습니다."
그럼 마스크를 쓴다고 해서 예방이 되는게 아니네요?,마스크를 쓴다고해서 100% 예방이 되는것은 아닙니다. 마스크착용을 의무화하고 손씻기를 생활화하는것을 추천드립니다.
덴탈마스크 써도되나요?,"네,착용가능합니다."
필터효가가있나요?,덴탈마스크는 3중 구조로 된 필터마스크로 3개의 구조가 겹쳐있고 겉면에 방수층이 있어 코로나 감여의 매개체인 비말을 어느정도 차단합니다. 사람사이 거리가 어느정도 확보되어 있다면 완벽하진 않지만 어느정도 효과는 있습니다.
바이러스 차단도 가능한가요?,덴탈 마스크로 모든 바이러스를 차단하는 건 힘듭니다. 차폐력이 KF80의 60~70% 수준이고 미세입자를 차단하는 능려고가 밀폐력이 낮아 기침을 하면 틈새로 새어 나올 가능성이 있습니다.
재사용 가능한가요?,덴탈 마스크는 원단이 두껍지 않고 얇아 자신의 비말로도 젖을 수 있습니다. 덴탈 마스크는 가능하면 일회용으로 사용하는것을 권장드립니다.
비말은 무슨뜻인가요?,"비말이란 기침이나 재채기, 또는 말을 할때 입에서 나오는 작은 물방울을 말합니다."
면마스크와 덴탈 마스크의 차이는 뭔가요?,면마스크와 덴탈 마스크의 차이는 방수 기능 차이입니다. 덴탈의 경우 안감에 물을 적셔도 겉면으로 투과되지 않습니다.
마스크 착용법 알려주실래요?,마스크는 철사가 있는 부분이 코에 맞닿게 밀착시켜 착용합니다.
어떤 마스크를 써야 안전한가요?,"확실한 차단 효과를 가지고 있는 마스크는 식약처의 허가를 받은 보건용 마스크입니다. 보건용 마스크 등급은 80% 이상 차단하는 KF80, 94%이상 차단하는 KF94, 99%이상 차지하는 KF99 마스크 착용을 권장드립니다."
마스크는 어디서 사나요?,"약국 또는 편의점, 대형마트 등에서 구매 가능합니다."
어린이 마스크는요?,현재 어린이용과 성인용을 구분하여 허가된 보건용 마스크는 없습니다. 따라서 어린이의 경우는 호흡기 유출을 최소화 할 수 있도록 얼굴 크기에 최대한 맞는 마스크를 구입하여 착용하는 것이 중요합니다.
보관방법 알수있나요?,마스크는 걸어서 보관하는 것이 가장 좋습니다. 걸어서 보관하지 못할경우 접어서 보관하지 마시고 최대한 펼쳐서 입이 닿는 곳이 아래도 가도록 보관해야합니다.
마스크 빨아써도 되나요?,최근 WHO는 마스크에 남아있는 세균이 감염의 원인이 될 수 있기 때문에 일회용 마스크의 경우 재사용 하지 않는 것을 권장드립니다.
자전거탈때 쓰는 방독면 같은것도 효과가 있나요?,식약처 인증 의약외품 마스크가 아니면 코로나바이러스에 효과는 없습니다.
면 마스크는요?,면마스크로도 감염을 막는 데 효과를 볼수있습니다.
마스크는 분리수거 해야하나요?,"착용하면서 묻었을 이물질, 바이러스 때문에 마스크는 재활용이 되지 않는 쓰레기 입니다. 모두 종량제 봉투에 버려주시길 바랍니다."
면마스크도요?,"네, 그렇습니다. 착용하면서 이물질, 바이러스로 인해 종량제봉투에 버려주시길 바랍니다."
마스크 안에 있는 철심은 따로 빼서 버리나요?,분리수거를 위해 따로 제거후 버리시는것을 권장드립니다.
저 코로나 마스크 문의 좀 할게요.,네 어떤 문의시죠?
제 짝꿍이 마스크를 덴탈마스크를 쓰는데 그걸 써도 되는거에요?,일회용 덴탈 마스크 말씀이신가요?
네 맞아요 그걸 써가지고 제가 불안해서요.,덴탈마스크도 비말 차단 효과가 있기때문에 쓰셔도 됩니다.
덴탈마스크는 다른 마스크보다 싼데 효과가 똑같다구요?,네 덴탈마스크는 의료용 마스크로 비말 차단효과가 분명히있습니다.
그럼 면마스크는요? 면마스크를 쓰고다니는 애들도 있거든요.,면마스크도 코로나 감염을 막는데 효과가 있습니다.
그럼 굳이 갑갑한 kf94마스크를 쓸 필요가 없네요?,네 착용가능하신 마스크를 착용하셔도 됩니다.
꾸준히 차는게 차라리 코로나 예방에 도움이 되겠네요.,네 맞습니다. 그렇게 해주시는게 좋을 것 같네요.
마스크를 빨아서 쓰는 것도 가능한가요?,일회용마스크는 한 번 사용하시고 버리시는게 좋습니다.
너무 아까운데 왜 안되죠?,세균 감염등의 문제가 있기 때문에 재사용하지 않는것이 좋습니다.
그렇군요. 네 알겠습니다.,네 감사합니다.
마스크 관련해서 문의 좀 드려도 될까요?,네 안녕하세요. 문의 주셔도 됩니다.
코로나 때문에 마스크 사기가 힘들잖아요?,그렇죠.. 그래서 마스크 요일제도 도입했었죠.
근데 요즘에는 그래도 사기가 좀 편하긴 한데 면마스크를 팔더라고요?,코로나 예방용 면마스크 말씀이신가요?
그런 면 마스크도 코로나 예방을 할 수 있는거에요?,네 면마스크도 코로나를 예방하는데 도움이 될 수 있습니다.
그냥 면마스크일텐데 어떻게 도움이 되죠?,일반 면마스크도 비말 차단이 어느정도는 될수 있고 면마스크 안에 필터를 삽입하여 바이러스를 막을 수 있습니다.
그럼 면마스크를 사서 써도 다른 마스크랑 큰 차이가 없겠네요?,일회용 마스크보다 차단력이 좀 떨어질 수는 있지만 마스크를 착용하지 않는 것 보다 훨씬 나을겁니다.
그럼 면마스크를 한 번 쓰고 깨끗하게 빨아서 사용해도 되는거죠?,네 면마스크는 빨아서 사용하셔도 됩니다.
면마스크를 좀 더 효율적으로 사용하는 방법이 있을까요?,필터를 구입하셔서 면마스크 안쪽에 붙여서사용하시는게 더 도움이 될 수 있습니다.
아 그럼 그런 필터를 좀 알아보는게 좋겠네요.,네 그렇게 하시는게 좋을 것 같네요.
마스크 관련 벌금 문의 드려도 될까요?,네 어떤부분이 궁금하시죠?
마스크를 안쓰고 다니면 벌금이 부여되나요?,네 마스크 미착용시 최고 10만원의 벌금이 부과될 수 있습니다
어디에서 마스크를 써야하는건가요?,"불특정 다수가 이용하는 대중교통,집회등이 있습니다."
거기에서만 잘 쓰면 되는건가요?,"아닙니다 감염 취약층이 많은 의료기관, 요양시설 등에서는 거리두기 단계에 구분없이 마스크 착용이 의무입니다."
아 그럼 음식점 이런데에선 안써도 되나요?,"카페, 음식점, 학원, 학교 등에서도 마스크는 필수입니다."
그럼 거의 실내에서는 착용하고 있어야겠네요.,네 맞습니다 꼭 착용해주시기 바랍니다.
1인 사업하는 사람들은 안써도 되겠네요?,혼자 있거나 가족과 있을 땐 착용하지 않으셔도 되지만 외부 손님이 오셨을 경우에는 착용하셔야 합니다.
공원같은 곳에서도 써야하나요?,서울시와 경기도는 다중집합장소는 실외에서도 마스크를 착용하도록 했습니다.
거리두기 단계와 상관없이 마스크 착용이 의무적인가요?,네 거리두기와 관계없이 마스크는 필수로 착용해주세요.
아 네 알겠습니다. 조심해야겠네요.,네 마스크를 꼭 착용하셔서 건강지키시길 바랍니다.
대상은 누구인가요?,이미 시작 하였습니다.
잘 알겠습니다.,권장 시기는 10~11 월에 맞는것 을 권장 합니다.
억울 하네요.,"생후 6개월 부터 18 세 , 임산부, 어르신 1958 .12.31 이전 출생자 입니다."
기간내에 꼭 맞아야 하나요?,꼭 그런것은 아닙니다.
무료 접종은 언제까지 인가요?미리 알아보구 가야겠네요.,2021 년 4월 30일 까지 입니다.
유통과정에서 상하면 폐기처분 하나요?,네~ 그렇게 알고 있습니다.
오후에 가면 이미 없는 곳은 왜 그런 건가요?,병원마다 필요한 만큼 신청합니다.
마스크만 잘 쓰면 되지 않나요?,인플루엔자 접종은 필히 하시는게 좋을듯 합니다
"손씻기 등 등, 예방수칙만 잘 하면 되지 않을까요?",예방수칙을 잘 지켜도 방심하는 순간에 감염될 수 있어요
예방접종 맞는다 해서 안걸리는 것 아니잖아요?,예방접종을 맞아야 걸려도 덜아픕니다
"덜 아파도 열나고, 몸살날 수 있잖아요?",... 접종 안하고 많이 아픈 것 보단 좋을듯......
예방접종 맞으면 바로 면역이 되나요?,접종 후 항체 생성 기간이 필요합니다 최소 2주 정도
항체 지속 능력은 어느정도?,약 2주 후부터 최대 6개월 까지 지속됩니다
약 팔아먹기 위한 꼼수 아닌가요?,인플루엔자 바이러스는 해마다 조금식 변형되기 때문입니다
아님 증상에 따라 다른가요?,증상의 정도에 따라 다릅니다
당뇨나 지병이 있는 사람들 이겠죠?,맞습니다.
열나지 않으면 접종 가능한 것 아닌가요?,접종은 의사가 진료한 후 가능여부를 판단합니다
그럼 접종 맞으러 여러번 방분해야 할 수도 있겠네요?,여러번 방문해야 할 수도 있습니다
접종을 받지 못하는 경우에 대한 안내는 없나요?,자세한 사항은 의사와 상담해 보세요
몸이 약해 감기를 달고 살면 예방접종 못하겠네요?,자세한 사항은 의사와 상담해 보세요
사람의 정상 체온은 몇도씨 인가요?,일반적으로 36.5도씨 입니다
사람마다 다를 수 있나요?,"예, 사람마다 다를 수 있습니다"
성인은 몇도인가요?,일반적으로 36.5도 입니다
코로나 어떤 치료약 쓰고 있는거에요?,렘데시비르 사용중입니다
모든 확진자에게 다 그약을 투여하나요?,아닙니다. 
부작용이 있다는 얘기를 들려서요.,모든 약은 부작용이 있습니다.
혹시 어떤 부작용이 있는거에요?,일반적인 부작용은 심박수 감소라고 보고되었어요.
